Sample/Participant,Blood Type
HG02654,A
HG00610,O
NA12751,O
NA11893,A
HG02733,B
NA19097,B
NA12272,A
NA19404,O
HG01945,O
NA19130,B
NA11829,O
HG02090,A
NA12376,A
HG00630,B
NA18508,O
HG02026,O
HG02786,O
HG00543,A
HG03238,A
HG00625,O
NA12830,B
HG00421,A
NA19152,O
HG01939,O
NA12341,A
NA12843,O
HG00448,A
HG00405,A
HG02106,O
NA10839,O
NA19190,O
HG00560,O
NA19145,B
HG02783,A
NA12155,A
NA19154,O
NA10843,A
HG00474,A
NA18924,A
NA19109,O
NA19222,O
HG00403,A
HG02279,O
NA12767,A
NA19172,A
HG02277,O
HG02003,O
NA12801,A
NA12348,A
NA12750,A
NA11832,O
HG00444,A
NA19093,O
HG00650,B
HG01565,O
HG00538,A
NA19257,B
NA12400,O
NA19202,A
NA12864,O
NA18935,O
HG00472,A
HG02729,AB
HG01923,A
NA10838,B
HG02724,A
NA12006,A
HG01950,O
HG01924,B
HG00535,A
NA12777,O
HG01932,O
HG00608,A
HG01920,O
HG00532,AB
HG01917,O
NA10831,O
NA12814,A
HG00437,O
NA12815,A
NA19201,A
NA19100,B
HG00534,A
HG00662,A
HG00612,A
HG02603,A
HG00590,B
NA07000,A
NA12753,O
HG00690,B
NA12762,O
NA18930,O
NA11894,A
HG00693,B
HG01918,O
HG02785,O
HG00436,B
HG02091,A
HG00689,B
HG00611,A
HG00619,O
HG01954,A
HG02286,A
HG00685,O
HG02271,O
HG01951,O
HG00464,AB
NA12413,B
HG02687,A
NA12812,O
NA19098,B
NA19113,O
HG02293,O
HG02689,A
HG00476,AB
HG02787,O
HG02727,B
NA12046,A
HG00629,B
HG00684,O
NA11931,O
NA12004,O
HG00615,O
NA12717,O
HG00655,B
NA10855,O
NA19258,O
HG02491,O
NA18502,O
NA19249,O
HG01938,O
HG01892,O
HG00731,A
HG01981,O
HG01928,O
HG01898,O
NA19221,O
NA12707,B
NA12045,O
NA12740,A
NA18505,B
HG00654,B
HG00607,A
NA11919,A
NA07349,A
HG01925,B
NA19117,A
HG01952,O
HG00407,A
HG02601,A
HG02147,O
NA06984,A
HG01937,A
HG01973,A
HG00423,A
HG00614,B
HG01942,A
HG00561,A
NA19210,A
NA12775,A
HG01970,O
NA19120,O
NA19161,O
NA10864,A
NA10840,A
NA12005,O
HG00449,A
NA19429,A
NA12829,O
HG01971,O
HG01573,O
NA18498,O
NA19314,A
HG00691,B
HG00589,O
HG00559,A
HG02791,B
NA19173,A
HG02784,O
HG01571,A
HG02292,O
HG02790,B
HG02490,B
NA19398,A
HG01997,O
NA12485,B
NA19118,O
HG00443,O
NA07346,A
NA18522,O
HG02148,O
HG01926,O
NA12842,A
HG01572,O
HG01567,O
NA12287,A
HG01977,O
HG01935,A
HG02146,O
NA19191,O
HG01969,O
NA19115,O
HG00733,A
NA18521,O
NA19137,B
NA10861,O
NA12286,O
NA18909,O
NA19256,A
HG00557,B
HG00556,B
HG00653,B
NA11995,B
HG01941,A
HG02089,O
NA12414,B
NA12873,O
HG02688,O
NA10852,A
HG00408,A
HG00627,B
HG00620,A
HG00613,O
HG00593,B
NA12766,O
HG00664,A
HG02685,A
HG00422,O
HG00438,O
HG01946,O
HG00406,A
NA12399,O
HG01578,O
HG00473,O
HG01993,O
NA11830,O
NA18504,O
HG00592,A
HG01934,O
HG00663,O
NA18917,O
NA11994,O
HG00732,A
NA12832,O
NA19443,O
HG03237,B
NA12872,O
HG00621,B
NA19174,O
NA19146,O
NA12827,O
NA12817,O
NA18911,O
HG01998,O
HG02278,O
HG02662,O
HG02660,O
NA12156,O
HG01577,A
HG01921,O
NA18933,O
NA12489,A
HG01991,O
HG02285,O
NA19239,O
HG02104,O
HG02735,O
HG01967,A
HG02261,O
NA19399,O
HG01974,O
HG01955,O
HG01972,O
HG02302,O
HG00465,B
NA12335,A
NA18501,A
HG02661,O
HG00671,O
HG02259,O
NA19148,O
HG00591,B
HG03239,B
NA19189,O
HG02734,B
NA19186,O
NA18916,O
NA07029,O
HG02697,A
NA10837,A
NA19159,O
NA19435,A
HG02658,B
NA12778,A
HG01978,O
HG02004,O
HG02655,A
NA12546,A
NA19171,A
NA18506,B
NA07347,A
HG02684,A
NA19428,B
HG02025,B
HG01566,O
HG01944,O
HG02657,B
NA18497,O
HG00475,O
HG02656,A
NA19236,A
NA06989,O
HG02659,B
HG01979,O
HG01968,O
NA12813,A
HG02273,O
HG02789,A
NA12752,A
NA19114,B
HG01936,B
HG02725,O
HG02024,O
HG02686,A
HG01975,A
HG00683,O
HG00531,A
NA19147,O
HG00533,A
HG00537,O
NA12761,A
NA18923,A
NA19211,O
HG02605,B
NA19138,B
NA19247,O
HG02260,O
HG00692,A
HG00652,O
NA12329,A
HG02600,B
HG02604,AB
HG02726,O
NA19116,O
HG00626,B
NA12386,O
NA12776,O
NA18499,O
HG02301,O
HG00694,AB
HG00477,A
NA18871,A
NA12763,O
HG02287,O
NA19240,O
NA19200,A
HG01940,O
HG02698,O
NA19144,B
NA18503,O
HG00450,A
HG00673,B
NA12003,A
NA19153,O
HG00536,A
HG01933,O
NA12273,O
NA19440,O
HG01976,O
NA19107,O
HG00463,A
HG02696,A
NA12760,A
HG00530,B
HG02008,A
HG00404,O
NA19238,O
HG00480,B
NA11920,A
NA06994,A
HG02272,O
HG01943,A
NA11930,O
HG01579,A
NA19160,O
NA19434,O
HG00479,AB
HG02105,O
HG01919,O
NA10845,O
NA11831,O
NA18870,B
HG00628,O
HG00442,A
NA12716,AB
NA18934,O
HG01927,O
NA12344,AB
NA19397,O
HG00651,A
HG00558,B
HG01893,O
HG00542,O
HG02728,A
HG02303,O
HG00478,O
HG02492,A
HG00672,B
HG01992,O
NA12347,B
HG01953,O
NA12802,A
NA19139,B
HG02291,O
HG00544,A
NA18507,AB
NA19143,O
NA12340,A
NA12818,O
HG02602,A
HG00609,O
HG01980,O
NA18500,O
NA12828,A
NA10856,O
HG00594,AB
NA18872,O
